Id	Description
2.7.8.12	CDP-glycerol glycerophosphotransferase
2.7.8.13	Phospho-N-acetylmuramoyl-pentapeptide-transferase
2.7.8.17	UDP-N-acetylglucosamine--lysosomal-enzyme N-acetylglucosaminephosphotransferase
2.7.8.20	Phosphatidylglycerol--membrane-oligosaccharide glycerophosphotransferase
2.7.8.23	Carboxyvinyl-carboxyphosphonate phosphorylmutase
2.7.8.25	Transferred entry: 2.4.2.52
2.7.8.26	Adenosylcobinamide-GDP ribazoletransferase
2.7.8.27	Sphingomyelin synthase
2.7.8.28	2-phospho-L-lactate transferase
2.7.8.29	L-serine-phosphatidylethanolamine phosphatidyltransferase
2.7.8.30	Transferred entry: 2.4.2.53
2.7.8.37	Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase
2.7.8.5	CDP-diacylglycerol--glycerol-3-phosphate 1-phosphatidyltransferase
2.7.8.6	Undecaprenyl-phosphate galactose phosphotransferase
2.7.8.7	Holo-[acyl-carrier-protein] synthase
2.7.8.8	CDP-diacylglycerol--serine O-phosphatidyltransferase
2.7.9.-	Phosphotransferases with paired acceptors.
2.7.9.2	Pyruvate, water dikinase
2.7.9.3	Selenide, water dikinase
2.7.9.4	Alpha-glucan, water dikinase
2.7.99.-	Other protein kinases.
2.8.-.-	Transferring sulfur-containing groups.
2.8.1.-	Sulfurtransferases.
2.8.1.1	Thiosulfate sulfurtransferase
2.8.1.2	3-mercaptopyruvate sulfurtransferase
2.8.1.6	Biotin synthase
2.8.1.7	Cysteine desulfurase
2.8.1.8	Lipoyl synthase
2.8.1.9	Molybdenum cofactor sulfurtransferase
2.8.2.-	Sulfotransferases.
2.8.2.1	Aryl sulfotransferase
2.8.2.11	Galactosylceramide sulfotransferase
2.8.2.20	Protein-tyrosine sulfotransferase
2.8.2.22	Aryl-sulfate sulfotransferase
2.8.2.33	N-acetylgalactosamine 4-sulfate 6-O-sulfotransferase
2.8.3.-	CoA-transferases.
2.8.3.1	Propionate CoA-transferase
2.8.3.10	Citrate CoA-transferase
2.8.3.16	Formyl-CoA transferase
2.8.3.5	3-oxoacid CoA-transferase
2.8.4.-	Transferring alkylthio groups.
2.9.-.-	Transferring selenium-containing groups.
2.9.1.-	Selenotransferases.
2.9.1.1	L-seryl-tRNA(Sec) selenium transferase
3.-.-.-	Hydrolases.
3.1.-.-	Acting on ester bonds.
3.1.1.-	Carboxylic ester hydrolases.
3.1.1.1	Carboxylesterase
3.1.1.11	Pectinesterase
3.1.1.14	Chlorophyllase
3.1.1.17	Gluconolactonase
3.1.1.2	Arylesterase
3.1.1.22	Hydroxybutyrate-dimer hydrolase
3.1.1.23	Acylglycerol lipase
3.1.1.24	3-oxoadipate enol-lactonase
3.1.1.29	Aminoacyl-tRNA hydrolase
3.1.1.3	Triacylglycerol lipase
3.1.1.31	6-phosphogluconolactonase
3.1.1.32	Phospholipase A(1)
3.1.1.34	Lipoprotein lipase
3.1.1.4	Phospholipase A(2)
3.1.1.41	Cephalosporin-C deacetylase
3.1.1.45	Carboxymethylenebutenolidase
3.1.1.47	1-alkyl-2-acetylglycerophosphocholine esterase
3.1.1.5	Lysophospholipase
3.1.1.53	Sialate O-acetylesterase
3.1.1.57	2-pyrone-4,6-dicarboxylate lactonase
3.1.1.61	Protein-glutamate methylesterase
3.1.1.72	Acetylxylan esterase
3.1.1.73	Feruloyl esterase
3.1.1.74	Cutinase
3.1.1.75	Poly(3-hydroxybutyrate) depolymerase
3.1.1.77	Acyloxyacyl hydrolase
3.1.1.78	Polyneuridine-aldehyde esterase
3.1.1.81	Quorum-quenching N-acyl-homoserine lactonase
3.1.1.85	Pimeloyl-[acyl-carrier protein] methyl ester esterase
3.1.11.-	Exodeoxyribonucleases producing 5'-phosphomonoesters.
3.1.11.1	Exodeoxyribonuclease I
3.1.11.2	Exodeoxyribonuclease III
3.1.11.3	Exodeoxyribonuclease (lambda-induced)
3.1.11.5	Exodeoxyribonuclease V
3.1.11.6	Exodeoxyribonuclease VII
3.1.12.-	Exodeoxyribonucleases producing 3'-phosphomonoesters.
3.1.13.-	Exoribonucleases producing 5'-phosphomonoesters.
3.1.13.1	Exoribonuclease II
3.1.13.5	Ribonuclease D
3.1.14.-	Exoribonucleases producing 3'-phosphomonoesters.
3.1.15.-	Exonucleases active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters.
3.1.16.-	Exonucleases active with either ribo- or deoxyribonucleic acids and producing 3'-phosphomonoesters.
3.1.2.-	Thiolester hydrolases.
3.1.2.1	Acetyl-CoA hydrolase
3.1.2.12	S-formylglutathione hydrolase
3.1.2.14	Oleoyl-[acyl-carrier-protein] hydrolase
3.1.2.15	Deleted entry
3.1.2.20	Acyl-CoA hydrolase
3.1.2.22	Palmitoyl-protein hydrolase
3.1.2.23	4-hydroxybenzoyl-CoA thioesterase
3.1.2.6	Hydroxyacylglutathione hydrolase
3.1.21.-	Endodeoxyribonucleases producing 5'-phosphomonoesters.
3.1.21.1	Deoxyribonuclease I
3.1.21.2	Deoxyribonuclease IV
3.1.21.3	Type I site-specific deoxyribonuclease
3.1.21.4	Type II site-specific deoxyribonuclease
3.1.21.5	Type III site-specific deoxyribonuclease
3.1.21.7	Deoxyribonuclease V
3.1.22.-	Endodeoxyribonucleases producing other than 5'-phosphomonoesters.
3.1.22.1	Deoxyribonuclease II
3.1.22.4	Crossover junction endodeoxyribonuclease
3.1.23.-	Site specific endodeoxyribonucleases: cleavage is sequence specific.
3.1.24.-	Site specific endodeoxyribonucleases: cleavage is not sequence specific.
3.1.25.-	Site-specific endodeoxyribonucleases specific for altered bases.
3.1.25.1	Deoxyribonuclease (pyrimidine dimer)
3.1.26.-	Endoribonucleases producing 5'-phosphomonoesters.
3.1.26.11	Ribonuclease Z
3.1.26.12	Ribonuclease E
3.1.26.3	Ribonuclease III
3.1.26.4	Ribonuclease H
3.1.26.5	Ribonuclease P
3.1.26.8	Ribonuclease M5
3.1.27.-	Endoribonucleases producing other than 5'-phosphomonoesters.
3.1.27.1	Ribonuclease T(2)
3.1.27.3	Ribonuclease T(1)
3.1.27.9	Transferred entry: 4.6.1.16
3.1.3.-	Phosphoric monoester hydrolases.
3.1.3.1	Alkaline phosphatase
3.1.3.11	Fructose-bisphosphatase
3.1.3.12	Trehalose-phosphatase
3.1.3.15	Histidinol-phosphatase
3.1.3.16	Protein-serine/threonine phosphatase
3.1.3.18	Phosphoglycolate phosphatase
3.1.3.2	Acid phosphatase
3.1.3.25	Inositol-phosphate phosphatase
3.1.3.26	4-phytase
3.1.3.27	Phosphatidylglycerophosphatase
3.1.3.29	N-acylneuraminate-9-phosphatase
3.1.3.3	Phosphoserine phosphatase
3.1.3.33	Polynucleotide 5'-phosphatase
3.1.3.36	Phosphoinositide 5-phosphatase
3.1.3.4	Phosphatidate phosphatase
3.1.3.41	4-nitrophenylphosphatase
3.1.3.45	3-deoxy-manno-octulosonate-8-phosphatase
3.1.3.48	Protein-tyrosine-phosphatase
3.1.3.5	5'-nucleotidase
3.1.3.56	Inositol-polyphosphate 5-phosphatase
3.1.3.62	Multiple inositol-polyphosphate phosphatase
3.1.3.66	Phosphatidylinositol-3,4-bisphosphate 4-phosphatase
3.1.3.67	Phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase
3.1.3.69	Glucosylglycerol 3-phosphatase
3.1.3.7	3'(2'),5'-bisphosphate nucleotidase
3.1.3.70	Mannosyl-3-phosphoglycerate phosphatase
3.1.3.71	2-phosphosulfolactate phosphatase
3.1.3.73	Adenosylcobalamin/alpha-ribazole phosphatase
3.1.3.74	Pyridoxal phosphatase
3.1.3.77	Acireductone synthase
3.1.3.78	Phosphatidylinositol-4,5-bisphosphate 4-phosphatase
3.1.3.8	3-phytase
3.1.3.82	D-glycero-beta-D-manno-heptose 1,7-bisphosphate 7-phosphatase
3.1.3.83	D-glycero-alpha-D-manno-heptose-1,7-bisphosphate 7-phosphatase
3.1.3.86	Phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase
3.1.3.87	2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase
3.1.3.9	Glucose-6-phosphatase
3.1.30.-	Endoribonucleases active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters.
3.1.30.1	Aspergillus nuclease S(1)
3.1.31.-	Endoribonucleases active with either ribo- or deoxyribonucleic acids and producing 3'-phosphomonoesters.
3.1.31.1	Micrococcal nuclease
3.1.4.-	Phosphoric diester hydrolases.
3.1.4.1	Phosphodiesterase I
3.1.4.11	Phosphoinositide phospholipase C
3.1.4.12	Sphingomyelin phosphodiesterase
3.1.4.14	[Acyl-carrier-protein] phosphodiesterase
3.1.4.16	2',3'-cyclic-nucleotide 2'-phosphodiesterase
3.1.4.17	3',5'-cyclic-nucleotide phosphodiesterase
3.1.4.3	Phospholipase C
3.1.4.37	2',3'-cyclic-nucleotide 3'-phosphodiesterase
3.1.4.4	Phospholipase D
3.1.4.45	N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase
3.1.4.46	Glycerophosphodiester phosphodiesterase
3.1.4.50	Glycosylphosphatidylinositol phospholipase D
3.1.4.52	Cyclic-guanylate-specific phosphodiesterase
3.1.4.55	Phosphoribosyl 1,2-cyclic phosphate phosphodiesterase
3.1.5.-	Triphosphoric monoester hydrolases.
3.1.5.1	dGTPase
3.1.6.-	Sulfuric ester hydrolases.
3.1.6.13	Iduronate-2-sulfatase
3.1.7.-	Diphosphoric monoester hydrolases.
3.1.7.8	Tuberculosinol synthase
3.1.7.9	Isotuberculosinol synthase
3.1.8.-	Phosphoric triester hydrolases.
3.1.8.1	Aryldialkylphosphatase
3.10.-.-	Acting on sulfur-nitrogen bonds.
3.10.1.-	Acting on sulfur-nitrogen bonds.
3.10.1.1	N-sulfoglucosamine sulfohydrolase
3.11.-.-	Acting on carbon-phosphorus bonds.
3.11.1.-	Acting on carbon-phosphorus bonds.
3.11.1.1	Phosphonoacetaldehyde hydrolase
3.11.1.2	Phosphonoacetate hydrolase
3.12.-.-	Acting on sulfur-sulfur bonds.
3.12.1.-	Acting on sulfur-sulfur bonds.
3.13.-.-	Acting on carbon-sulfur bonds.
3.13.1.-	Acting on carbon-sulfur bonds.
3.13.1.1	UDP-sulfoquinovose synthase
3.13.1.3	2'-hydroxybiphenyl-2-sulfinate desulfinase
3.2.-.-	Glycosylases.
3.2.1.-	Glycosidases, i.e.enzymes hydrolyzing O- and S-glycosyl compounds.
3.2.1.1	Alpha-amylase
3.2.1.101	Mannan endo-1,6-alpha-mannosidase
3.2.1.106	Mannosyl-oligosaccharide glucosidase
3.2.1.11	Dextranase
3.2.1.113	Mannosyl-oligosaccharide 1,2-alpha-mannosidase
3.2.1.123	Endoglycosylceramidase
3.2.1.130	Glycoprotein endo-alpha-1,2-mannosidase
3.2.1.132	Chitosanase
3.2.1.136	Glucuronoarabinoxylan endo-1,4-beta-xylanase
3.2.1.139	Alpha-glucuronidase
3.2.1.14	Chitinase
3.2.1.143	Poly(ADP-ribose) glycohydrolase
3.2.1.15	Polygalacturonase
3.2.1.166	Heparanase
3.2.1.169	Protein O-GlcNAcase
3.2.1.17	Lysozyme
3.2.1.172	Unsaturated rhamnogalacturonyl hydrolase
3.2.1.18	Exo-alpha-sialidase
3.2.1.2	Beta-amylase
3.2.1.20	Alpha-glucosidase
3.2.1.21	Beta-glucosidase
3.2.1.22	Alpha-galactosidase
3.2.1.23	Beta-galactosidase
3.2.1.24	Alpha-mannosidase
3.2.1.26	Beta-fructofuranosidase
3.2.1.28	Alpha,alpha-trehalase
3.2.1.3	Glucan 1,4-alpha-glucosidase
3.2.1.33	Amylo-alpha-1,6-glucosidase
3.2.1.35	Hyaluronoglucosaminidase
3.2.1.37	Xylan 1,4-beta-xylosidase
3.2.1.4	Cellulase
3.2.1.40	Alpha-L-rhamnosidase
3.2.1.41	Pullulanase
3.2.1.45	Glucosylceramidase
3.2.1.46	Galactosylceramidase
3.2.1.50	Alpha-N-acetylglucosaminidase
3.2.1.51	Alpha-L-fucosidase
3.2.1.52	Beta-N-acetylhexosaminidase
3.2.1.55	Non-reducing end alpha-L-arabinofuranosidase
3.2.1.58	Glucan 1,3-beta-glucosidase
3.2.1.73	Licheninase
3.2.1.76	L-iduronidase
3.2.1.78	Mannan endo-1,4-beta-mannosidase
3.2.1.8	Endo-1,4-beta-xylanase
3.2.1.80	Fructan beta-fructosidase
3.2.1.81	Beta-agarase
3.2.1.83	Kappa-carrageenase
3.2.1.84	Glucan 1,3-alpha-glucosidase
3.2.1.89	Arabinogalactan endo-beta-1,4-galactanase
3.2.1.91	Cellulose 1,4-beta-cellobiosidase (non-reducing end)
3.2.1.96	Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase
3.2.2.-	Hydrolyzing N-glycosyl compounds.
3.2.2.1	Purine nucleosidase
3.2.2.16	Methylthioadenosine nucleosidase
3.2.2.19	[Protein ADP-ribosylarginine] hydrolase
3.2.2.20	DNA-3-methyladenine glycosylase I
3.2.2.21	DNA-3-methyladenine glycosylase II
3.2.2.23	DNA-formamidopyrimidine glycosylase
3.2.2.27	Uracil-DNA glycosylase
3.2.2.4	AMP nucleosidase
3.2.2.5	NAD(+) glycohydrolase
3.2.2.9	Adenosylhomocysteine nucleosidase
3.2.3.-	Hydrolyzing S-glycosyl compounds.
3.3.-.-	Acting on ether bonds.
3.3.1.-	Thioether and trialkylsulfonium hydrolases.
3.3.1.1	Adenosylhomocysteinase
3.3.2.-	Ether hydrolases.
3.3.2.1	Isochorismatase
3.3.2.10	Soluble epoxide hydrolase
3.3.2.8	Limonene-1,2-epoxide hydrolase
3.3.2.9	Microsomal epoxide hydrolase
3.4.-.-	Acting on peptide bonds (peptidases).
3.4.1.-	alpha-Amino-acyl-peptide hydrolases.
3.4.11.-	Aminopeptidases.
3.4.11.1	Leucyl aminopeptidase
3.4.11.18	Methionyl aminopeptidase
3.4.11.19	D-stereospecific aminopeptidase
3.4.11.2	Membrane alanyl aminopeptidase
3.4.11.21	Aspartyl aminopeptidase
3.4.11.4	Tripeptide aminopeptidase
3.4.11.5	Prolyl aminopeptidase
3.4.11.9	Xaa-Pro aminopeptidase
3.4.12.-	Peptidylamino-acid hydrolases or acylamino-acid hydrolases.
3.4.13.-	Dipeptidases.
3.4.13.19	Membrane dipeptidase
3.4.13.21	Dipeptidase E
3.4.13.22	D-Ala-D-Ala dipeptidase
3.4.13.9	Xaa-Pro dipeptidase
3.4.14.-	Dipeptidyl-peptidases and tripeptidyl-peptidases.
3.4.14.11	Xaa-Pro dipeptidyl-peptidase
3.4.14.4	Dipeptidyl-peptidase III
3.4.14.5	Dipeptidyl-peptidase IV
3.4.14.9	Tripeptidyl-peptidase I
3.4.15.-	Peptidyl-dipeptidases.
3.4.15.1	Peptidyl-dipeptidase A
3.4.15.6	Cyanophycinase
3.4.16.-	Serine-type carboxypeptidases.
3.4.16.2	Lysosomal Pro-Xaa carboxypeptidase
3.4.16.4	Serine-type D-Ala-D-Ala carboxypeptidase
3.4.16.6	Carboxypeptidase D
3.4.17.-	Metallocarboxypeptidases.
3.4.17.13	Muramoyltetrapeptide carboxypeptidase
3.4.17.19	Carboxypeptidase Taq
3.4.17.21	Glutamate carboxypeptidase II
3.4.18.-	Cysteine-type carboxypeptidases.
3.4.18.1	Cathepsin X
3.4.19.-	Omega peptidases.
3.4.19.1	Acylaminoacyl-peptidase
3.4.19.11	Gamma-D-glutamyl-meso-diaminopimelate peptidase
3.4.19.12	Ubiquitinyl hydrolase 1
3.4.19.3	Pyroglutamyl-peptidase I
3.4.19.5	Beta-aspartyl-peptidase
3.4.19.9	Gamma-glutamyl hydrolase
3.4.2.-	Peptidyl-amino-acid hydrolases.
3.4.21.-	Serine endopeptidases.
3.4.21.10	Acrosin
3.4.21.102	C-terminal processing peptidase
3.4.21.105	Rhomboid protease
3.4.21.26	Prolyl oligopeptidase
3.4.21.50	Lysyl endopeptidase
3.4.21.53	Endopeptidase La
3.4.21.72	IgA-specific serine endopeptidase
3.4.21.83	Oligopeptidase B
3.4.21.88	Repressor LexA
3.4.21.89	Signal peptidase I
3.4.21.92	Endopeptidase Clp
3.4.21.96	Lactocepin
3.4.22.-	Cysteine endopeptidases.
3.4.22.10	Streptopain
3.4.22.15	Cathepsin L
3.4.22.37	Gingipain R
3.4.22.40	Bleomycin hydrolase
3.4.22.49	Separase
3.4.22.68	Ulp1 peptidase
3.4.22.70	Sortase A
3.4.22.8	Clostripain
3.4.23.-	Aspartic endopeptidases.
3.4.23.36	Signal peptidase II
3.4.23.42	Thermopsin
3.4.23.43	Prepilin peptidase
3.4.23.49	Omptin
3.4.23.51	HycI peptidase
3.4.23.52	Preflagellin peptidase
3.4.24.-	Metalloendopeptidases.
3.4.24.13	IgA-specific metalloendopeptidase
3.4.24.20	Peptidyl-Lys metalloendopeptidase
3.4.24.28	Bacillolysin
3.4.24.3	Microbial collagenase
3.4.24.36	Leishmanolysin
3.4.24.56	Insulysin
3.4.24.57	O-sialoglycoprotein endopeptidase
3.4.24.59	Mitochondrial intermediate peptidase
3.4.24.64	Mitochondrial processing peptidase
3.4.24.71	Endothelin-converting enzyme 1
3.4.24.75	Lysostaphin
3.4.24.77	Snapalysin
3.4.24.79	Pappalysin-1
3.4.24.80	Membrane-type matrix metalloproteinase-1
3.4.24.81	ADAM10 endopeptidase
3.4.24.82	ADAMTS-4 endopeptidase
3.4.24.84	Ste24 endopeptidase
3.4.24.85	S2P endopeptidase
3.4.25.-	Threonine endopeptidases.
3.4.25.1	Proteasome endopeptidase complex
3.4.25.2	HslU--HslV peptidase
3.4.3.-	Dipeptide hydrolases.
3.4.4.-	Peptidyl peptide hydrolases.
3.4.99.-	Endopeptidases of unknown catalytic mechanism.
3.5.-.-	Acting on carbon-nitrogen bonds, other than peptide bonds.
3.5.1.-	In linear amides.
3.5.1.1	Asparaginase
3.5.1.10	Formyltetrahydrofolate deformylase
3.5.1.106	N-formylmaleamate deformylase
3.5.1.108	UDP-3-O-acyl-N-acetylglucosamine deacetylase
3.5.1.11	Penicillin amidase
3.5.1.110	Peroxyureidoacrylate/ureidoacrylate amidohydrolase
3.5.1.19	Nicotinamidase
3.5.1.2	Glutaminase
3.5.1.23	Ceramidase
3.5.1.24	Choloylglycine hydrolase
3.5.1.25	N-acetylglucosamine-6-phosphate deacetylase
3.5.1.26	N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase
3.5.1.28	N-acetylmuramoyl-L-alanine amidase
3.5.1.32	Hippurate hydrolase
3.5.1.44	Protein-glutamine glutaminase
3.5.1.49	Formamidase
3.5.1.5	Urease
3.5.1.52	Peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase
3.5.1.53	N-carbamoylputrescine amidase
3.5.1.56	N,N-dimethylformamidase
3.5.1.68	N-formylglutamate deformylase
3.5.1.78	Glutathionylspermidine amidase
3.5.1.81	N-acyl-D-amino-acid deacylase
3.5.1.88	Peptide deformylase
3.5.1.89	N-acetylglucosaminylphosphatidylinositol deacetylase
3.5.1.9	Arylformamidase
3.5.1.90	Adenosylcobinamide hydrolase
3.5.1.94	Gamma-glutamyl-gamma-aminobutyrate hydrolase
3.5.1.96	Succinylglutamate desuccinylase
3.5.1.98	Histone deacetylase
3.5.2.-	In cyclic amides.
3.5.2.10	Creatininase
3.5.2.14	N-methylhydantoinase (ATP-hydrolyzing)
3.5.2.15	Cyanuric acid amidohydrolase
3.5.2.17	Hydroxyisourate hydrolase
3.5.2.18	Enamidase
3.5.2.3	Dihydroorotase
3.5.2.6	Beta-lactamase
3.5.2.7	Imidazolonepropionase
3.5.3.-	In linear amidines.
3.5.3.1	Arginase
3.5.3.11	Agmatinase
3.5.3.12	Agmatine deiminase
3.5.3.15	Protein-arginine deiminase
3.5.3.18	Dimethylargininase
3.5.3.19	Transferred entry: 3.5.1.116
3.5.3.23	N-succinylarginine dihydrolase
3.5.3.4	Allantoicase
3.5.3.6	Arginine deiminase
3.5.3.8	Formimidoylglutamase
3.5.4.-	In cyclic amidines.
3.5.4.1	Cytosine deaminase
3.5.4.10	IMP cyclohydrolase
3.5.4.12	dCMP deaminase
3.5.4.13	dCTP deaminase
3.5.4.16	GTP cyclohydrolase I
3.5.4.19	Phosphoribosyl-AMP cyclohydrolase
3.5.4.2	Adenine deaminase
3.5.4.25	GTP cyclohydrolase II
3.5.4.26	Diaminohydroxyphosphoribosylaminopyrimidine deaminase
3.5.4.27	Methenyltetrahydromethanopterin cyclohydrolase
3.5.4.29	GTP cyclohydrolase IIa
3.5.4.3	Guanine deaminase
3.5.4.33	tRNA(adenine(34)) deaminase
3.5.4.34	tRNA(Ala)(adenine(37)) deaminase
3.5.4.35	tRNA(cytosine(8)) deaminase
3.5.4.4	Adenosine deaminase
3.5.4.5	Cytidine deaminase
3.5.4.9	Methenyltetrahydrofolate cyclohydrolase
3.5.5.-	In nitriles.
3.5.99.-	In other compounds.
3.5.99.2	Aminopyrimidine aminohydrolase
3.5.99.5	2-aminomuconate deaminase
3.5.99.6	Glucosamine-6-phosphate deaminase
3.5.99.7	1-aminocyclopropane-1-carboxylate deaminase
3.6.-.-	Acting on acid anhydrides.
3.6.1.-	In phosphorus-containing anhydrides.
3.6.1.1	Inorganic diphosphatase
3.6.1.10	Endopolyphosphatase
3.6.1.11	Exopolyphosphatase
3.6.1.12	dCTP diphosphatase
3.6.1.13	ADP-ribose diphosphatase
3.6.1.15	Nucleoside-triphosphate phosphatase
3.6.1.17	Bis(5'-nucleosyl)-tetraphosphatase (asymmetrical)
3.6.1.19	Nucleoside-triphosphate diphosphatase
3.6.1.22	NAD(+) diphosphatase
3.6.1.23	dUTP diphosphatase
3.6.1.26	CDP-diacylglycerol diphosphatase
3.6.1.27	Undecaprenyl-diphosphate phosphatase
3.6.1.28	Thiamine-triphosphatase
3.6.1.29	Bis(5'-adenosyl)-triphosphatase
3.6.1.3	Adenosinetriphosphatase
3.6.1.31	Phosphoribosyl-ATP diphosphatase
3.6.1.40	Guanosine-5'-triphosphate,3'-diphosphate diphosphatase
3.6.1.43	Dolichyldiphosphatase
3.6.1.52	Diphosphoinositol-polyphosphate diphosphatase
3.6.1.54	UDP-2,3-diacylglucosamine diphosphatase
3.6.1.57	UDP-2,4-diacetamido-2,4,6-trideoxy-beta-L-altropyranose hydrolase
3.6.1.6	Nucleoside diphosphate phosphatase
3.6.1.62	5'-(N(7)-methylguanosine 5'-triphospho)-[mRNA] hydrolase
3.6.1.63	Alpha-D-ribose 1-methylphosphonate 5-triphosphate diphosphatase
3.6.1.64	Inosine diphosphate phosphatase
3.6.1.7	Acylphosphatase
3.6.1.8	ATP diphosphatase
3.6.1.9	Nucleotide diphosphatase
3.6.2.-	In sulfonyl-containing anhydrides.
3.6.3.-	Acting on acid anhydrides; catalyzing transmembrane movement of substances.
3.6.3.1	Phospholipid-translocating ATPase
3.6.3.10	Hydrogen/potassium-exchanging ATPase
3.6.3.12	Potassium-transporting ATPase
3.6.3.14	H(+)-transporting two-sector ATPase
3.6.3.16	Arsenite-transporting ATPase
3.6.3.17	Monosaccharide-transporting ATPase
3.6.3.20	Glycerol-3-phosphate-transporting ATPase
3.6.3.21	Polar-amino-acid-transporting ATPase
3.6.3.24	Nickel-transporting ATPase
3.6.3.25	Sulfate-transporting ATPase
3.6.3.27	Phosphate-transporting ATPase
3.6.3.28	Phosphonate-transporting ATPase
3.6.3.29	Molybdate-transporting ATPase
3.6.3.30	Fe(3+)-transporting ATPase
3.6.3.31	Polyamine-transporting ATPase
3.6.3.32	Quaternary-amine-transporting ATPase
3.6.3.33	Vitamin B12-transporting ATPase
3.6.3.34	Iron-chelate-transporting ATPase
3.6.3.36	Taurine-transporting ATPase
3.6.3.4	Cu(2+)-exporting ATPase
3.6.3.40	Teichoic-acid-transporting ATPase
3.6.3.41	Heme-transporting ATPase
3.6.3.51	Mitochondrial protein-transporting ATPase
3.6.3.8	Calcium-transporting ATPase
3.6.4.-	Acting on ATP; involved in cellular and subcellular movement.
3.6.4.1	Myosin ATPase
3.6.4.12	DNA helicase
3.6.4.13	RNA helicase
3.6.4.3	Microtubule-severing ATPase
3.6.4.4	Plus-end-directed kinesin ATPase
3.6.4.6	Vesicle-fusing ATPase
3.6.5.-	Acting on GTP; involved in cellular and subcellular movement.
3.6.5.2	Small monomeric GTPase
3.6.5.5	Dynamin GTPase
3.7.-.-	Acting on carbon-carbon bonds.
3.7.1.-	In ketonic substances.
3.7.1.12	Cobalt-precorrin 5A hydrolase
3.7.1.16	Transferred entry: 3.3.2.12
3.7.1.17	4,5-9,10-diseco-3-hydroxy-5,9,17-trioxoandrosta-1(10),2-diene-4-oate hydrolase
3.7.1.3	Kynureninase
3.8.-.-	Acting on halide bonds.
3.8.1.-	In C-halide compounds.
3.8.1.2	(S)-2-haloacid dehalogenase
3.8.1.3	Haloacetate dehalogenase
3.8.1.5	Haloalkane dehalogenase
3.8.2.-	In P-halide compounds.
3.9.-.-	Acting on phosphorus-nitrogen bonds.
3.9.1.-	Acting on phosphorus-nitrogen bonds.
4.-.-.-	Lyases.
4.1.-.-	Carbon-carbon lyases.
4.1.1.-	Carboxy-lyases.
4.1.1.11	Aspartate 1-decarboxylase
4.1.1.19	Arginine decarboxylase
4.1.1.20	Diaminopimelate decarboxylase
4.1.1.22	Histidine decarboxylase
4.1.1.23	Orotidine-5'-phosphate decarboxylase
4.1.1.3	Oxaloacetate decarboxylase
4.1.1.31	Phosphoenolpyruvate carboxylase
4.1.1.32	Phosphoenolpyruvate carboxykinase (GTP)
4.1.1.33	Diphosphomevalonate decarboxylase
4.1.1.36	Phosphopantothenoylcysteine decarboxylase
4.1.1.37	Uroporphyrinogen decarboxylase
4.1.1.39	Ribulose-bisphosphate carboxylase
4.1.1.4	Acetoacetate decarboxylase
4.1.1.44	4-carboxymuconolactone decarboxylase
4.1.1.45	Aminocarboxymuconate-semialdehyde decarboxylase
4.1.1.47	Tartronate-semialdehyde synthase
4.1.1.48	Indole-3-glycerol-phosphate synthase
4.1.1.49	Phosphoenolpyruvate carboxykinase (ATP)
4.1.1.5	Acetolactate decarboxylase
4.1.1.50	Adenosylmethionine decarboxylase
4.1.1.55	4,5-dihydroxyphthalate decarboxylase
4.1.1.65	Phosphatidylserine decarboxylase
4.1.1.79	Sulfopyruvate decarboxylase
4.1.1.9	Malonyl-CoA decarboxylase
4.1.1.90	Peptidyl-glutamate 4-carboxylase
4.1.2.-	Aldehyde-lyases.
4.1.2.13	Fructose-bisphosphate aldolase
4.1.2.14	2-dehydro-3-deoxy-phosphogluconate aldolase
4.1.2.25	Dihydroneopterin aldolase
4.1.2.4	Deoxyribose-phosphate aldolase
4.1.2.40	Tagatose-bisphosphate aldolase
4.1.2.43	3-hexulose-6-phosphate synthase
4.1.2.44	2,3-epoxybenzoyl-CoA dihydrolase
4.1.2.5	L-threonine aldolase
4.1.2.50	6-carboxytetrahydropterin synthase
4.1.2.9	Phosphoketolase
4.1.3.-	Oxo-acid-lyases.
4.1.3.1	Isocitrate lyase
4.1.3.16	4-hydroxy-2-oxoglutarate aldolase
4.1.3.17	4-hydroxy-4-methyl-2-oxoglutarate aldolase
4.1.3.27	Anthranilate synthase
4.1.3.30	Methylisocitrate lyase
4.1.3.34	Citryl-CoA lyase
4.1.3.36	1,4-dihydroxy-2-naphthoyl-CoA synthase
4.1.3.39	4-hydroxy-2-oxovalerate aldolase
4.1.3.40	Chorismate lyase
4.1.3.6	Citrate (pro-3S)-lyase
4.1.99.-	Other carbon-carbon lyases.
4.1.99.1	Tryptophanase
4.1.99.11	Benzylsuccinate synthase
4.1.99.12	3,4-dihydroxy-2-butanone-4-phosphate synthase
4.1.99.14	Spore photoproduct lyase
4.1.99.16	Geosmin synthase
